Timestamp,Apakah Anda bersedia memberikan jawaban dengan jujur dan mengizinkan data yang Anda isi digunakan untuk penelitian ini? ,"1. Tuliskan salah satu status yang pernah Anda unggah di Facebook. 

(Status bisa berupa kalimat pendek/panjang, kutipan, emotikon, atau apa pun yang menggambarkan suasana hati Anda. Tidak perlu ragu — silakan tulis dengan bebas di bawah ini.)
","2.  Menurut Anda, setelah membuat status pada no. 1, status tersebut termasuk ke dalam kategori sentimen apa?

Petunjuk Kategori Sentimen:

Positif: Status yang mengandung perasaan senang, bahagia, bersyukur, optimis, memotivasi, atau memberikan dukungan. Contoh: ""Hari ini aku merasa sangat bahagia dan penuh semangat!""
Negatif: Status yang mengandung perasaan sedih, marah, kecewa, cemas, stres, atau hal-hal bernada pesimis. Contoh: ""Aku merasa sangat lelah dan tidak bersemangat akhir-akhir ini.""
Netral: Status yang bersifat informatif, tidak menunjukkan emosi yang kuat, atau hanya menyampaikan fakta tanpa muatan perasaan tertentu. Contoh: ""Hari ini aku mengikuti kuliah dari jam 8 pagi sampai jam 3 sore.""
⚠️ Harap baca dan pahami petunjuk di atas sebelum memilih kategori di bawah. Pilihlah kategori sentimen yang paling sesuai dengan isi status yang Anda buat pada no. 1 sebelumnya.",1. Berapa Usia Anda?,2. Jenis Kelamin Anda?
08/06/2025 21:29:48,"Ya, saya bersedia.",Apaan ini personal bgt,Negatif,17,Laki - laki
08/06/2025 21:30:00,"Ya, saya bersedia.","Status hasil menggambar, status sedang ngopi atau sedang nyantay",Netral,21,Laki - laki
08/06/2025 21:39:41,"Ya, saya bersedia.",Saya tidak pernah unggah status di FB,Negatif,18,Perempuan
08/06/2025 21:40:01,"Ya, saya bersedia.","Aku tidak pernah tau usaha apa yang akan menaikan derjatku,tapi aku percaya tuhan akan memberi kesempatan itu padaku",Negatif,28,Laki - laki
08/06/2025 21:43:10,"Ya, saya bersedia.",Vip888-Auto JP🤧🎉🎉,Negatif,18,Laki - laki
08/06/2025 21:45:13,"Ya, saya bersedia.",Ganyang fufufafa!!! 😈,Negatif,20,Perempuan
08/06/2025 21:47:24,"Ya, saya bersedia.",Koboy facebook menyerang 🤢,Negatif,20,Laki - laki
08/06/2025 21:51:25,"Ya, saya bersedia.","Teruntuk kalian yang sudah umur 20an, ada saran gak buat kami yang umur 17/18 biar gak nyesel di umur 20an🙇",Negatif,17,Laki - laki
08/06/2025 22:15:03,"Ya, saya bersedia.",Pengertian tentang cinta,Netral,25,Laki - laki
08/06/2025 22:30:27,"Ya, saya bersedia.",Gini amat ya kalau udah kerja susah banget dapet pasangan 🤣🤣,Negatif,23,Laki - laki
